Final5k,Final10k,FinalHalf,FinalFull,MPH5K,MPH10K,MPHHalf,MPHFull
0 : 29 : 54,0 : 59 : 42,2 : 12 : 38,4 : 45 : 12,6.2207357859531776,6.231155778894473,5.926112088464438,5.511921458625526
0 : 27 : 16,0 : 55 : 29,2 : 0 : 54,4 : 18 : 21,6.821515892420538,6.704716130970262,6.5012406947890815,6.084768724598412
0 : 56 : 10,1 : 48 : 17,3 : 28 : 22,5 : 59 : 30,3.311572700296736,3.435431737725104,3.772196448568229,4.372739916550765
0 : 43 : 34,1 : 34 : 46,3 : 42 : 10,6 : 33 : 2,4.269319051262433,3.9254308828702076,3.5378844711177795,3.9996607582054104
0 : 45 : 46,1 : 31 : 42,3 : 14 : 28,7 : 0 : 57,4.0640932265112895,4.0567066521265,4.041823791566678,3.7344102625014846
0 : 30 : 47,1 : 05 : 51,2 : 19 : 14,5 : 29 : 0,6.0422306442880345,5.649202733485194,5.645199904237491,4.778115501519757
0 : 57 : 15,1 : 23 : 34,2 : 57 : 37,6 : 20 : 5,3.2489082969432315,4.451535700039889,4.4252603922304585,4.135935101951326
1 : 11 : 13,1 : 23 : 11,3 : 7 : 53,6 : 35 : 8,2.6117481862859817,4.472049689440994,4.18344717466513,3.9784039142905345
0 : 25 : 56,0 : 55 : 36,2 : 9 : 27,5 : 43 : 43,7.172236503856041,6.690647482014389,6.071842410196988,4.573534403336081
0 : 27 : 21,0 : 57 : 53,2 : 9 : 25,4 : 50 : 22,6.80073126142596,6.426720414627123,6.073406310367032,5.4138445643439335
1 : 27 : 04,1 : 32 : 24,3 : 25 : 53,7 : 16 : 46,2.1362940275650844,4.025974025974026,3.8176961062090182,3.5991757612760433
0 : 30 : 02,1 : 02 : 49,2 : 17 : 44,4 : 46 : 40,6.193118756936737,5.9219952241974,5.706679574056148,5.4837209302325585
0 : 50 : 07,1 : 37 : 30,3 : 31 : 25,6 : 12 : 3,3.711340206185567,3.8153846153846156,3.717776901852582,4.225238543206558
0 : 46 : 26,1 : 24 : 17,2 : 24 : 34,4 : 58 : 11,4.005743000717875,4.413684002372949,5.436937975559142,5.271924431278297
0 : 30 : 02,0 : 55 : 49,2 : 1 : 24,5 : 6 : 42,6.193118756936737,6.664676022693341,6.474464579901153,5.125529833713727
0 : 31 : 14,1 : 17 : 41,3 : 1 : 0,7 : 8 : 17,5.955176093916756,4.7886719588071225,4.342541436464089,3.6704673697318753
0 : 53 : 18,1 : 37 : 26,3 : 13 : 53,6 : 42 : 7,3.4896810506566607,3.817995210400274,4.053984354852575,3.9093132175570933
0 : 29 : 58,0 : 57 : 36,2 : 0 : 34,4 : 26 : 2,6.206896551724139,6.458333333333333,6.519214818910699,5.909033955644656
1 : 06 : 42,1 : 35 : 42,3 : 22 : 33,6 : 53 : 11,2.788605697151424,3.887147335423198,3.8805233275734383,3.804606510427171
0 : 45 : 02,1 : 26 : 10,3 : 14 : 37,6 : 36 : 16,4.130273871206514,4.317214700193424,4.0387085724072955,3.967025572005384
0 : 45 : 02,1 : 26 : 10,3 : 14 : 37,6 : 36 : 15,4.130273871206514,4.317214700193424,4.0387085724072955,3.9671924290220817
0 : 56 : 40,1 : 48 : 30,3 : 50 : 52,7 : 25 : 0,3.282352941176471,3.428571428571429,3.404562518047935,3.5325842696629213
0 : 56 : 40,1 : 48 : 29,3 : 50 : 53,6 : 59 : 8,3.282352941176471,3.429098171762176,3.4043167544936117,3.750596468904088
0 : 54 : 21,1 : 26 : 53,3 : 0 : 42,6 : 28 : 38,3.422263109475621,4.281603683099942,4.3497509684560045,4.044943820224719
0 : 54 : 18,1 : 26 : 52,3 : 0 : 43,6 : 28 : 38,3.4254143646408846,4.282425172678435,4.349349810937932,4.044943820224719
0 : 37 : 46,1 : 17 : 44,3 : 19 : 11,6 : 43 : 51,4.924977934686672,4.785591766723842,3.946113295958497,3.892534356815649
0 : 58 : 32,1 : 47 : 16,3 : 38 : 1,7 : 7 : 33,3.1776765375854215,3.467992541951523,3.6052289580307315,3.6767629517015554
0 : 40 : 24,1 : 21 : 58,2 : 52 : 37,6 : 0 : 36,4.603960396039604,4.538430256201709,4.553442116442985,4.359400998336106
0 : 36 : 54,1 : 13 : 50,2 : 53 : 35,6 : 34 : 5,5.040650406504065,5.038374717832958,4.528084493518962,3.9890040177627406
0 : 36 : 54,0 : 55 : 55,2 : 53 : 34,5 : 21 : 10,5.040650406504065,6.652757078986588,4.52851930094104,4.894654903995848
1 : 28 : 02,2 : 16 : 19,3 : 42 : 39,6 : 51 : 26,2.1128360469519123,2.728939968211273,3.5302043566135186,3.8207891112371386
1 : 06 : 38,1 : 55 : 42,3 : 26 : 51,7 : 22 : 42,2.791395697848924,3.2152117545375973,3.799854967367658,3.550937429410436
0 : 40 : 00,1 : 22 : 40,2 : 52 : 8,6 : 26 : 44,4.65,4.5,4.566227730441518,4.064816410963626
0 : 33 : 56,1 : 07 : 34,2 : 32 : 23,5 : 25 : 15,5.481335952848724,5.505673408978787,5.158044405556163,4.833205226748655
